时间,,中交碧桂园低压出口_10k压力量产一批0033#压力值(KPa)
2026/1/16,23:55:00,2.79
2026/1/16,23:54:00,2.79
2026/1/16,23:44:00,2.91
2026/1/16,23:44:00,2.91
2026/1/16,23:34:00,2.9
2026/1/16,23:34:00,2.9
2026/1/16,23:24:00,2.63
2026/1/16,23:14:00,2.55
2026/1/16,23:04:00,2.78
2026/1/16,22:54:00,2.59
2026/1/16,22:44:00,2.37
2026/1/16,22:34:00,2.45
2026/1/16,22:24:00,2.3
2026/1/16,22:14:00,2.34
2026/1/16,22:04:00,2.38
2026/1/16,21:54:00,2.3
2026/1/16,21:44:00,2.49
2026/1/16,21:34:00,2.4
2026/1/16,21:24:00,2.32
2026/1/16,21:14:00,2.45
2026/1/16,21:04:00,2.49
2026/1/16,20:54:00,2.37
2026/1/16,20:44:00,2.37
2026/1/16,20:34:00,2.53
2026/1/16,20:24:00,2.63
2026/1/16,20:14:00,2.6
2026/1/16,20:04:00,2.33
2026/1/16,19:54:00,2.36
2026/1/16,19:44:00,2.33
2026/1/16,19:34:00,2.27
2026/1/16,19:24:00,2.45
2026/1/16,19:14:00,2.38
2026/1/16,19:04:00,2.28
2026/1/16,18:54:00,2.32
2026/1/16,18:44:00,2.35
2026/1/16,18:34:00,2.25
2026/1/16,18:24:00,2.28
2026/1/16,18:14:00,2.31
2026/1/16,18:04:00,2.29
2026/1/16,17:54:00,2.27
2026/1/16,17:44:00,2.34
2026/1/16,17:34:00,2.34
2026/1/16,17:24:00,2.34
2026/1/16,17:14:00,2.31
2026/1/16,17:04:00,2.23
2026/1/16,16:54:00,2.47
2026/1/16,16:44:00,2.4
2026/1/16,16:34:00,2.63
2026/1/16,16:24:00,2.77
2026/1/16,16:14:00,2.64
2026/1/16,16:04:00,2.79
2026/1/16,15:54:00,2.47
2026/1/16,15:44:00,2.34
2026/1/16,15:34:00,2.52
2026/1/16,15:24:00,2.7
2026/1/16,15:14:00,2.68
2026/1/16,15:04:00,2.62
2026/1/16,14:54:00,2.74
2026/1/16,14:54:00,2.74
2026/1/16,14:44:00,2.9
2026/1/16,14:44:00,2.9
2026/1/16,14:34:00,2.73
2026/1/16,14:24:00,2.55
2026/1/16,14:14:00,2.55
2026/1/16,14:04:00,2.57
2026/1/16,13:53:00,2.71
2026/1/16,13:43:00,2.81
2026/1/16,13:33:00,2.8
2026/1/16,13:23:00,2.77
2026/1/16,13:13:00,2.55
2026/1/16,13:03:00,2.48
2026/1/16,12:53:00,2.36
2026/1/16,12:43:00,2.37
2026/1/16,12:33:00,2.4
2026/1/16,12:23:00,2.3
2026/1/16,12:13:00,2.35
2026/1/16,12:03:00,2.32
2026/1/16,11:53:00,2.23
2026/1/16,11:43:00,2.33
2026/1/16,11:33:00,2.36
2026/1/16,11:23:00,2.29
2026/1/16,11:13:00,2.39
2026/1/16,11:03:00,2.42
2026/1/16,10:53:00,2.51
2026/1/16,10:43:00,2.35
2026/1/16,10:33:00,2.37
2026/1/16,10:23:00,2.36
2026/1/16,10:13:00,2.56
2026/1/16,10:03:00,2.39
2026/1/16,9:53:00,2.34
2026/1/16,9:43:00,2.56
2026/1/16,9:33:00,2.39
2026/1/16,9:23:00,2.71
2026/1/16,9:13:00,2.52
2026/1/16,9:03:00,2.37
2026/1/16,8:53:00,2.56
2026/1/16,8:43:00,2.31
2026/1/16,8:33:00,2.37
2026/1/16,8:23:00,2.42
2026/1/16,8:13:00,2.4
2026/1/16,8:03:00,2.41
2026/1/16,7:53:00,2.32
2026/1/16,7:43:00,2.41
2026/1/16,7:33:00,2.29
2026/1/16,7:23:00,2.26
2026/1/16,7:13:00,2.29
2026/1/16,7:03:00,2.37
2026/1/16,6:53:00,2.42
2026/1/16,6:43:00,2.37
2026/1/16,6:33:00,2.34
2026/1/16,6:23:00,2.47
2026/1/16,6:13:00,2.48
2026/1/16,6:03:00,2.58
2026/1/16,5:53:00,2.72
2026/1/16,5:53:00,2.72
2026/1/16,5:43:00,2.93
2026/1/16,5:43:00,2.93
2026/1/16,5:33:00,2.93
2026/1/16,5:33:00,2.93
2026/1/16,5:23:00,2.9
2026/1/16,5:23:00,2.9
2026/1/16,5:13:00,2.88
2026/1/16,5:13:00,2.88
2026/1/16,5:03:00,2.86
2026/1/16,5:03:00,2.86
2026/1/16,4:53:00,2.84
2026/1/16,4:53:00,2.84
2026/1/16,4:43:00,2.85
2026/1/16,4:43:00,2.85
2026/1/16,4:33:00,2.87
2026/1/16,4:33:00,2.87
2026/1/16,4:23:00,2.9
2026/1/16,4:23:00,2.9
2026/1/16,4:13:00,2.86
2026/1/16,4:13:00,2.86
2026/1/16,4:03:00,2.86
2026/1/16,4:03:00,2.86
2026/1/16,3:53:00,2.85
2026/1/16,3:52:00,2.85
2026/1/16,3:42:00,2.85
2026/1/16,3:42:00,2.85
2026/1/16,3:42:00,2.85
2026/1/16,3:32:00,2.9
2026/1/16,3:32:00,2.9
2026/1/16,3:22:00,2.92
2026/1/16,3:22:00,2.92
2026/1/16,3:12:00,2.85
2026/1/16,3:12:00,2.85
2026/1/16,3:02:00,2.87
2026/1/16,3:02:00,2.87
2026/1/16,2:52:00,2.86
2026/1/16,2:42:00,2.84
2026/1/16,2:42:00,2.84
2026/1/16,2:32:00,2.85
2026/1/16,2:32:00,2.85
2026/1/16,2:22:00,2.89
2026/1/16,2:22:00,2.89
2026/1/16,2:12:00,2.92
2026/1/16,2:12:00,2.92
2026/1/16,2:02:00,2.9
2026/1/16,2:02:00,2.9
2026/1/16,1:52:00,2.94
2026/1/16,1:52:00,2.94
2026/1/16,1:42:00,2.83
2026/1/16,1:42:00,2.83
2026/1/16,1:32:00,2.93
2026/1/16,1:32:00,2.93
2026/1/16,1:22:00,2.87
2026/1/16,1:22:00,2.87
2026/1/16,1:12:00,2.88
2026/1/16,1:12:00,2.88
2026/1/16,1:02:00,2.89
2026/1/16,1:02:00,2.89
2026/1/16,0:52:00,2.88
2026/1/16,0:52:00,2.88
2026/1/16,0:42:00,2.9
2026/1/16,0:42:00,2.9
2026/1/16,0:32:00,2.98
2026/1/16,0:32:00,2.98
2026/1/16,0:22:00,2.93
2026/1/16,0:22:00,2.93
2026/1/16,0:12:00,2.94
2026/1/16,0:12:00,2.94
2026/1/16,0:02:00,2.9
2026/1/16,0:02:00,2.9
2026/1/15,23:52:00,2.91
2026/1/15,23:52:00,2.91
2026/1/15,23:42:00,2.76
2026/1/15,23:32:00,2.89
2026/1/15,23:22:00,2.71
2026/1/15,23:12:00,2.75
2026/1/15,23:02:00,2.76
2026/1/15,22:52:00,2.74
2026/1/15,22:42:00,2.47
2026/1/15,22:32:00,2.3
2026/1/15,22:22:00,2.5
2026/1/15,22:12:00,2.63
2026/1/15,22:02:00,2.41
2026/1/15,21:52:00,2.49
2026/1/15,21:42:00,2.39
2026/1/15,21:32:00,2.24
2026/1/15,21:22:00,2.23
2026/1/15,21:12:00,2.5
2026/1/15,21:02:00,2.22
2026/1/15,20:52:00,2.22
2026/1/15,20:42:00,2.33
2026/1/15,20:32:00,2.31
2026/1/15,20:22:00,2.34
2026/1/15,20:12:00,2.28
2026/1/15,20:02:00,2.51
2026/1/15,19:52:00,2.24
2026/1/15,19:42:00,2.37
2026/1/15,19:32:00,2.55
2026/1/15,19:22:00,2.23
2026/1/15,19:12:00,2.26
2026/1/15,19:02:00,2.33
2026/1/15,18:52:00,2.33
2026/1/15,18:42:00,2.28
2026/1/15,18:32:00,2.39
2026/1/15,18:22:00,2.24
2026/1/15,18:12:00,2.2
2026/1/15,18:02:00,2.34
2026/1/15,17:51:00,2.35
2026/1/15,17:41:00,2.29
2026/1/15,17:31:00,2.25
2026/1/15,17:21:00,2.28
2026/1/15,17:11:00,2.29
2026/1/15,17:01:00,2.27
2026/1/15,16:51:00,2.29
2026/1/15,16:41:00,2.49
2026/1/15,16:31:00,2.35
2026/1/15,16:21:00,2.49
2026/1/15,16:11:00,2.38
2026/1/15,16:01:00,2.57
2026/1/15,15:51:00,2.56
2026/1/15,15:41:00,2.36
2026/1/15,15:31:00,2.53
2026/1/15,15:21:00,2.58
2026/1/15,15:11:00,2.73
2026/1/15,15:01:00,2.77
2026/1/15,14:51:00,2.54
2026/1/15,14:41:00,2.74
2026/1/15,14:31:00,2.81
2026/1/15,14:31:00,2.81
2026/1/15,14:21:00,2.85
2026/1/15,14:21:00,2.85
2026/1/15,14:11:00,2.85
2026/1/15,14:01:00,2.62
2026/1/15,13:51:00,2.79
2026/1/15,13:41:00,2.58
2026/1/15,13:31:00,2.69
2026/1/15,13:21:00,2.45
2026/1/15,13:11:00,2.58
2026/1/15,13:01:00,2.41
2026/1/15,12:51:00,2.38
2026/1/15,12:41:00,2.42
2026/1/15,12:31:00,2.39
2026/1/15,12:21:00,2.31
2026/1/15,12:11:00,2.3
2026/1/15,12:01:00,2.34
2026/1/15,11:51:00,2.3
2026/1/15,11:41:00,2.21
2026/1/15,11:31:00,2.26
2026/1/15,11:21:00,2.36
2026/1/15,11:11:00,2.33
2026/1/15,11:01:00,2.4
2026/1/15,10:51:00,2.41
2026/1/15,10:41:00,2.41
2026/1/15,10:31:00,2.46
2026/1/15,10:21:00,2.56
2026/1/15,10:11:00,2.37
2026/1/15,10:01:00,2.42
2026/1/15,9:51:00,2.6
2026/1/15,9:41:00,2.35
2026/1/15,9:31:00,2.45
2026/1/15,9:21:00,2.55
2026/1/15,9:11:00,2.44
2026/1/15,9:01:00,2.52
2026/1/15,8:51:00,2.33
2026/1/15,8:41:00,2.32
2026/1/15,8:31:00,2.46
2026/1/15,8:21:00,2.53
2026/1/15,8:11:00,2.38
2026/1/15,8:01:00,2.33
2026/1/15,7:50:00,2.38
2026/1/15,7:40:00,2.24
2026/1/15,7:30:00,2.34
2026/1/15,7:20:00,2.27
2026/1/15,7:10:00,2.32
2026/1/15,7:00:00,2.36
2026/1/15,6:50:00,2.38
2026/1/15,6:40:00,2.21
2026/1/15,6:30:00,2.26
2026/1/15,6:20:00,2.6
2026/1/15,6:10:00,2.62
2026/1/15,6:00:00,2.54
2026/1/15,5:50:00,2.83
2026/1/15,5:40:00,2.79
2026/1/15,5:40:00,2.79
2026/1/15,5:30:00,2.94
2026/1/15,5:30:00,2.94
2026/1/15,5:20:00,2.98
2026/1/15,5:20:00,2.98
2026/1/15,5:10:00,2.96
2026/1/15,5:10:00,2.96
2026/1/15,5:00:00,2.88
2026/1/15,5:00:00,2.88
2026/1/15,4:50:00,2.87
2026/1/15,4:50:00,2.87
2026/1/15,4:40:00,2.83
2026/1/15,4:40:00,2.83
2026/1/15,4:30:00,2.84
2026/1/15,4:30:00,2.84
2026/1/15,4:20:00,2.85
2026/1/15,4:20:00,2.85
2026/1/15,4:10:00,2.8
2026/1/15,4:10:00,2.8
2026/1/15,4:00:00,2.8
2026/1/15,4:00:00,2.8
2026/1/15,3:50:00,2.87
2026/1/15,3:50:00,2.87
2026/1/15,3:40:00,2.87
2026/1/15,3:40:00,2.87
2026/1/15,3:30:00,2.85
2026/1/15,3:30:00,2.85
2026/1/15,3:20:00,2.93
2026/1/15,3:20:00,2.93
2026/1/15,3:10:00,2.85
2026/1/15,3:10:00,2.85
2026/1/15,3:00:00,2.84
2026/1/15,3:00:00,2.84
2026/1/15,2:50:00,2.94
2026/1/15,2:50:00,2.94
2026/1/15,2:40:00,2.9
2026/1/15,2:40:00,2.9
2026/1/15,2:30:00,2.86
2026/1/15,2:30:00,2.86
2026/1/15,2:20:00,2.87
2026/1/15,2:20:00,2.87
2026/1/15,2:10:00,2.82
2026/1/15,2:10:00,2.82
2026/1/15,2:00:00,2.97
2026/1/15,2:00:00,2.97
2026/1/15,1:50:00,2.9
2026/1/15,1:50:00,2.9
2026/1/15,1:40:00,2.94
2026/1/15,1:40:00,2.94
2026/1/15,1:30:00,2.8
2026/1/15,1:30:00,2.8
2026/1/15,1:20:00,2.82
2026/1/15,1:20:00,2.82
2026/1/15,1:10:00,2.8
2026/1/15,1:10:00,2.8
2026/1/15,1:00:00,2.79
2026/1/15,1:00:00,2.79
2026/1/15,0:50:00,2.77
2026/1/15,0:50:00,2.77
2026/1/15,0:40:00,2.8
2026/1/15,0:40:00,2.8
2026/1/15,0:30:00,2.9
2026/1/15,0:20:00,2.85
2026/1/15,0:20:00,2.85
2026/1/15,0:10:00,2.97
2026/1/15,0:10:00,2.97
2026/1/15,0:00:00,2.87
2026/1/15,0:00:00,2.87
2026/1/14,23:50:00,2.89
2026/1/14,23:50:00,2.89
2026/1/14,23:40:00,2.89
2026/1/14,23:40:00,2.89
2026/1/14,23:30:00,2.94
2026/1/14,23:30:00,2.94
2026/1/14,23:20:00,2.96
2026/1/14,23:20:00,2.96
2026/1/14,23:10:00,2.48
2026/1/14,23:00:00,2.83
2026/1/14,22:50:00,2.42
2026/1/14,22:40:00,2.59
2026/1/14,22:30:00,2.53
2026/1/14,22:20:00,2.42
2026/1/14,22:10:00,2.24
2026/1/14,22:00:00,2.29
2026/1/14,21:49:00,2.37
2026/1/14,21:39:00,2.37
2026/1/14,21:29:00,2.39
2026/1/14,21:19:00,2.28
2026/1/14,21:09:00,2.39
2026/1/14,20:59:00,2.3
2026/1/14,20:49:00,2.41
2026/1/14,20:39:00,2.26
2026/1/14,20:29:00,2.25
2026/1/14,20:19:00,2.33
2026/1/14,20:09:00,2.23
2026/1/14,19:59:00,2.34
2026/1/14,19:49:00,2.36
2026/1/14,19:39:00,2.41
2026/1/14,19:29:00,2.3
2026/1/14,19:19:00,2.27
2026/1/14,19:09:00,2.26
2026/1/14,18:59:00,2.35
2026/1/14,18:49:00,2.24
2026/1/14,18:39:00,2.27
2026/1/14,18:29:00,2.31
2026/1/14,18:19:00,2.31
2026/1/14,18:09:00,2.27
2026/1/14,17:59:00,2.25
2026/1/14,17:49:00,2.23
2026/1/14,17:39:00,2.3
2026/1/14,17:29:00,2.31
2026/1/14,17:19:00,2.24
2026/1/14,17:09:00,2.24
2026/1/14,16:59:00,2.33
2026/1/14,16:49:00,2.54
2026/1/14,16:39:00,2.54
2026/1/14,16:29:00,2.7
2026/1/14,16:19:00,2.58
2026/1/14,16:09:00,2.63
2026/1/14,15:59:00,2.59
2026/1/14,15:49:00,2.58
2026/1/14,15:39:00,2.66
2026/1/14,15:29:00,2.66
2026/1/14,15:19:00,2.89
2026/1/14,15:09:00,2.73
2026/1/14,14:59:00,2.72
2026/1/14,14:49:00,2.72
2026/1/14,14:49:00,2.72
2026/1/14,14:39:00,2.98
2026/1/14,14:39:00,2.98
2026/1/14,14:29:00,2.94
2026/1/14,14:29:00,2.94
2026/1/14,14:19:00,3.04
2026/1/14,14:19:00,3.04
2026/1/14,14:09:00,2.78
2026/1/14,13:59:00,2.78
2026/1/14,13:49:00,2.84
2026/1/14,13:39:00,2.66
2026/1/14,13:29:00,2.59
2026/1/14,13:19:00,2.48
2026/1/14,13:09:00,2.42
2026/1/14,12:59:00,2.53
2026/1/14,12:49:00,2.4
2026/1/14,12:39:00,2.4
2026/1/14,12:29:00,2.41
2026/1/14,12:19:00,2.28
2026/1/14,12:09:00,2.28
2026/1/14,11:59:00,2.27
2026/1/14,11:48:00,2.27
2026/1/14,11:38:00,2.33
2026/1/14,11:28:00,2.29
2026/1/14,11:18:00,2.22
2026/1/14,11:08:00,2.3
2026/1/14,10:58:00,2.38
2026/1/14,10:48:00,2.28
2026/1/14,10:38:00,2.43
2026/1/14,10:28:00,2.45
2026/1/14,10:18:00,2.31
2026/1/14,10:08:00,2.42
2026/1/14,9:58:00,2.58
2026/1/14,9:48:00,2.75
2026/1/14,9:38:00,2.78
2026/1/14,9:28:00,2.42
2026/1/14,9:18:00,2.42
2026/1/14,9:08:00,2.52
2026/1/14,8:58:00,2.29
2026/1/14,8:48:00,2.5
2026/1/14,8:38:00,2.33
2026/1/14,8:28:00,2.41
2026/1/14,8:18:00,2.39
2026/1/14,8:08:00,2.4
2026/1/14,7:58:00,2.28
2026/1/14,7:48:00,2.37
2026/1/14,7:38:00,2.28
2026/1/14,7:28:00,2.25
2026/1/14,7:18:00,2.25
2026/1/14,7:08:00,2.22
2026/1/14,6:58:00,2.32
2026/1/14,6:48:00,2.25
2026/1/14,6:38:00,2.31
2026/1/14,6:28:00,2.34
2026/1/14,6:18:00,2.5
2026/1/14,6:08:00,2.49
2026/1/14,5:58:00,2.67
2026/1/14,5:48:00,2.67
2026/1/14,5:48:00,2.67
2026/1/14,5:38:00,2.68
2026/1/14,5:38:00,2.68
2026/1/14,5:28:00,2.74
2026/1/14,5:28:00,2.74
2026/1/14,5:18:00,2.76
2026/1/14,5:18:00,2.76
2026/1/14,5:08:00,2.76
2026/1/14,5:08:00,2.79
2026/1/14,5:08:00,2.83
2026/1/14,4:58:00,2.87
2026/1/14,4:48:00,2.9
2026/1/14,4:38:00,2.89
2026/1/14,4:28:00,2.8
2026/1/14,4:28:00,2.8
2026/1/14,4:18:00,2.81
2026/1/14,4:18:00,2.81
2026/1/14,4:08:00,2.98
2026/1/14,4:08:00,2.98
2026/1/14,3:58:00,2.98
2026/1/14,3:58:00,2.98
2026/1/14,3:48:00,3.16
2026/1/14,3:48:00,3.16
2026/1/14,3:38:00,2.93
2026/1/14,3:38:00,2.93
2026/1/14,3:28:00,2.86
2026/1/14,3:28:00,2.86
2026/1/14,3:18:00,2.84
2026/1/14,3:18:00,2.84
2026/1/14,3:08:00,2.88
2026/1/14,3:08:00,2.88
2026/1/14,2:58:00,2.9
2026/1/14,2:58:00,2.9
2026/1/14,2:48:00,2.89
2026/1/14,2:48:00,2.89
2026/1/14,2:38:00,2.86
2026/1/14,2:38:00,2.86
2026/1/14,2:28:00,2.87
2026/1/14,2:28:00,2.87
2026/1/14,2:18:00,2.88
2026/1/14,2:18:00,2.88
2026/1/14,2:08:00,2.97
2026/1/14,2:08:00,2.97
2026/1/14,1:58:00,3.09
2026/1/14,1:58:00,3.09
2026/1/14,1:48:00,2.97
2026/1/14,1:48:00,2.97
2026/1/14,1:38:00,2.99
2026/1/14,1:38:00,2.99
2026/1/14,1:28:00,2.88
2026/1/14,1:27:00,2.88
2026/1/14,1:17:00,2.85
2026/1/14,1:17:00,2.85
2026/1/14,1:07:00,2.83
2026/1/14,1:07:00,2.83
2026/1/14,0:57:00,2.87
2026/1/14,0:57:00,2.87
2026/1/14,0:47:00,2.9
2026/1/14,0:47:00,2.9
2026/1/14,0:37:00,2.98
2026/1/14,0:37:00,2.98
2026/1/14,0:27:00,2.75
2026/1/14,0:27:00,2.75
2026/1/14,0:17:00,2.71
2026/1/14,0:07:00,2.89
2026/1/13,23:57:00,2.59
2026/1/13,23:47:00,2.76
2026/1/13,23:47:00,2.76
2026/1/13,23:37:00,2.95
2026/1/13,23:37:00,2.95
2026/1/13,23:27:00,2.87
2026/1/13,23:17:00,2.85
2026/1/13,23:07:00,2.7
2026/1/13,22:57:00,2.47
2026/1/13,22:47:00,2.48
2026/1/13,22:37:00,2.52
2026/1/13,22:27:00,2.75
2026/1/13,22:17:00,2.58
2026/1/13,22:07:00,2.4
2026/1/13,21:57:00,2.38
2026/1/13,21:47:00,2.23
2026/1/13,21:37:00,2.36
2026/1/13,21:27:00,2.44
2026/1/13,21:17:00,2.3
2026/1/13,21:07:00,2.37
2026/1/13,20:57:00,2.34
2026/1/13,20:47:00,2.41
2026/1/13,20:37:00,2.25
2026/1/13,20:27:00,2.26
2026/1/13,20:17:00,2.34
2026/1/13,20:07:00,2.36
2026/1/13,19:57:00,2.62
2026/1/13,19:47:00,2.38
2026/1/13,19:37:00,2.35
2026/1/13,19:27:00,2.25
2026/1/13,19:17:00,2.24
2026/1/13,19:07:00,2.34
2026/1/13,18:57:00,2.2
2026/1/13,18:47:00,2.23
2026/1/13,18:37:00,2.36
2026/1/13,18:27:00,2.22
2026/1/13,18:17:00,2.23
2026/1/13,18:07:00,2.34
2026/1/13,17:57:00,2.26
2026/1/13,17:47:00,2.29
2026/1/13,17:37:00,2.3
2026/1/13,17:27:00,2.28
2026/1/13,17:17:00,2.21
2026/1/13,17:07:00,2.41
2026/1/13,16:57:00,2.47
2026/1/13,16:47:00,2.42
2026/1/13,16:37:00,2.53
2026/1/13,16:27:00,2.54
2026/1/13,16:17:00,2.55
2026/1/13,16:07:00,2.4
2026/1/13,15:57:00,2.55
2026/1/13,15:47:00,2.41
2026/1/13,15:37:00,2.6
2026/1/13,15:26:00,2.63
2026/1/13,15:16:00,2.57
2026/1/13,15:06:00,2.72
2026/1/13,14:56:00,2.72
2026/1/13,14:46:00,2.63
2026/1/13,14:46:00,2.63
2026/1/13,14:36:00,3.04
2026/1/13,14:36:00,3.04
2026/1/13,14:26:00,2.62
2026/1/13,14:16:00,2.92
2026/1/13,14:16:00,2.92
2026/1/13,14:06:00,2.51
2026/1/13,13:56:00,2.41
2026/1/13,13:46:00,2.73
2026/1/13,13:36:00,2.76
2026/1/13,13:26:00,2.76
2026/1/13,13:16:00,2.72
2026/1/13,13:06:00,2.5
2026/1/13,12:56:00,2.38
2026/1/13,12:46:00,2.44
2026/1/13,12:36:00,2.38
2026/1/13,12:26:00,2.32
2026/1/13,12:16:00,2.27
2026/1/13,12:06:00,2.24
2026/1/13,11:56:00,2.26
2026/1/13,11:46:00,2.31
2026/1/13,11:36:00,2.3
2026/1/13,11:26:00,2.31
