时间,,岸上澜湾T1低压出口_10k压力量产一批0026#压力值(KPa)
2026/1/13,10:40:00,2.56
2026/1/13,10:30:00,2.57
2026/1/13,10:20:00,2.49
2026/1/13,10:10:00,2.7
2026/1/13,10:00:00,2.86
2026/1/13,9:50:00,2.6
2026/1/13,9:40:00,2.81
2026/1/13,9:30:00,2.62
2026/1/13,9:20:00,2.8
2026/1/13,9:10:00,2.71
2026/1/13,9:00:00,2.69
2026/1/13,8:50:00,2.46
2026/1/13,8:40:00,2.58
2026/1/13,8:30:00,2.6
2026/1/13,8:20:00,2.52
2026/1/13,8:10:00,2.37
2026/1/13,8:00:00,2.61
2026/1/13,7:50:00,2.72
2026/1/13,7:40:00,2.39
2026/1/13,7:30:00,2.44
2026/1/13,7:20:00,2.65
2026/1/13,7:10:00,2.46
2026/1/13,7:00:00,2.57
2026/1/13,6:50:00,2.53
2026/1/13,6:40:00,2.38
2026/1/13,6:30:00,2.49
2026/1/13,6:20:00,2.61
2026/1/13,6:10:00,2.56
2026/1/13,6:00:00,2.82
2026/1/13,5:50:00,2.72
2026/1/13,5:40:00,2.57
2026/1/13,5:40:00,2.57
2026/1/13,5:30:00,2.91
2026/1/13,5:30:00,2.91
2026/1/13,5:20:00,2.64
2026/1/13,5:20:00,2.64
2026/1/13,5:10:00,2.9
2026/1/13,5:10:00,2.9
2026/1/13,5:00:00,2.93
2026/1/13,5:00:00,2.93
2026/1/13,4:50:00,2.81
2026/1/13,4:50:00,2.81
2026/1/13,4:40:00,2.8
2026/1/13,4:40:00,2.8
2026/1/13,4:30:00,2.84
2026/1/13,4:30:00,2.84
2026/1/13,4:20:00,2.93
2026/1/13,4:20:00,2.93
2026/1/13,4:11:00,2.9
2026/1/13,4:11:00,2.9
2026/1/13,4:01:00,2.96
2026/1/13,4:01:00,2.96
2026/1/13,3:51:00,2.85
2026/1/13,3:51:00,2.85
2026/1/13,3:41:00,2.84
2026/1/13,3:41:00,2.84
2026/1/13,3:31:00,2.91
2026/1/13,3:31:00,2.91
2026/1/13,3:21:00,2.88
2026/1/13,3:21:00,2.88
2026/1/13,3:11:00,2.89
2026/1/13,3:11:00,2.89
2026/1/13,3:01:00,2.9
2026/1/13,3:00:00,2.9
2026/1/13,2:50:00,2.87
2026/1/13,2:50:00,2.87
2026/1/13,2:40:00,2.87
2026/1/13,2:40:00,2.87
2026/1/13,2:30:00,2.88
2026/1/13,2:30:00,2.88
2026/1/13,2:20:00,2.9
2026/1/13,2:20:00,2.9
2026/1/13,2:10:00,2.99
2026/1/13,2:10:00,2.99
2026/1/13,2:00:00,2.82
2026/1/13,1:50:00,2.85
2026/1/13,1:50:00,2.85
2026/1/13,1:40:00,2.81
2026/1/13,1:40:00,2.81
2026/1/13,1:30:00,2.81
2026/1/13,1:30:00,2.81
2026/1/13,1:20:00,2.9
2026/1/13,1:20:00,2.9
2026/1/13,1:10:00,2.97
2026/1/13,1:10:00,2.97
2026/1/13,1:00:00,2.9
2026/1/13,1:00:00,2.9
2026/1/13,0:50:00,2.87
2026/1/13,0:50:00,2.87
2026/1/13,0:40:00,2.97
2026/1/13,0:40:00,2.97
2026/1/13,0:30:00,2.78
2026/1/13,0:30:00,2.78
2026/1/13,0:20:00,2.8
2026/1/13,0:20:00,2.8
2026/1/13,0:10:00,2.86
2026/1/13,0:10:00,2.86
2026/1/13,0:00:00,2.94
2026/1/13,0:00:00,2.94
2026/1/12,23:50:00,2.9
2026/1/12,23:50:00,2.9
2026/1/12,23:40:00,2.92
2026/1/12,23:40:00,2.92
2026/1/12,23:30:00,2.94
2026/1/12,23:30:00,2.94
2026/1/12,23:20:00,2.75
2026/1/12,23:20:00,2.75
2026/1/12,23:10:00,2.74
2026/1/12,23:00:00,2.68
2026/1/12,22:50:00,2.82
2026/1/12,22:40:00,2.89
2026/1/12,22:30:00,2.75
2026/1/12,22:20:00,2.89
2026/1/12,22:10:00,2.66
2026/1/12,22:00:00,2.63
2026/1/12,21:50:00,2.88
2026/1/12,21:40:00,2.56
2026/1/12,21:30:00,2.59
2026/1/12,21:20:00,2.71
2026/1/12,21:10:00,2.51
2026/1/12,21:00:00,2.53
2026/1/12,20:50:00,2.56
2026/1/12,20:40:00,2.57
2026/1/12,20:30:00,2.65
2026/1/12,20:20:00,2.5
2026/1/12,20:10:00,2.77
2026/1/12,20:00:00,2.46
2026/1/12,19:50:00,2.79
2026/1/12,19:40:00,2.43
2026/1/12,19:30:00,2.51
2026/1/12,19:20:00,2.59
2026/1/12,19:10:00,2.43
2026/1/12,19:00:00,2.58
2026/1/12,18:50:00,2.46
2026/1/12,18:40:00,2.59
2026/1/12,18:30:00,2.46
2026/1/12,18:20:00,2.51
2026/1/12,18:11:00,2.36
2026/1/12,18:01:00,2.35
2026/1/12,17:51:00,2.36
2026/1/12,17:41:00,2.34
2026/1/12,17:31:00,2.44
2026/1/12,17:21:00,2.42
2026/1/12,17:11:00,2.47
2026/1/12,17:00:00,2.35
2026/1/12,16:50:00,2.5
2026/1/12,16:40:00,2.66
2026/1/12,16:30:00,2.43
2026/1/12,16:20:00,2.47
2026/1/12,16:10:00,2.63
2026/1/12,15:20:00,2.69
2026/1/12,15:10:00,2.91
2026/1/12,15:00:00,2.73
2026/1/12,15:00:00,2.73
2026/1/12,14:50:00,2.93
2026/1/12,14:50:00,2.93
2026/1/12,14:40:00,2.82
2026/1/12,14:30:00,2.68
2026/1/12,14:20:00,2.65
2026/1/12,14:20:00,2.65
2026/1/12,14:10:00,2.95
2026/1/12,14:10:00,2.95
2026/1/12,14:00:00,2.72
2026/1/12,13:50:00,2.62
2026/1/12,13:40:00,2.67
2026/1/12,13:30:00,2.76
2026/1/12,13:20:00,2.71
2026/1/12,13:10:00,2.71
2026/1/12,13:00:00,2.7
2026/1/12,12:50:00,2.53
2026/1/12,12:40:00,2.68
2026/1/12,12:30:00,2.75
2026/1/12,12:20:00,2.45
2026/1/12,12:10:00,2.6
2026/1/12,12:00:00,2.43
2026/1/12,11:50:00,2.43
2026/1/12,11:40:00,2.36
2026/1/12,11:30:00,2.46
2026/1/12,11:20:00,2.5
2026/1/12,11:10:00,2.48
2026/1/12,11:00:00,2.47
2026/1/12,10:50:00,2.59
2026/1/12,10:40:00,2.46
2026/1/12,10:30:00,2.48
2026/1/12,10:20:00,2.84
2026/1/12,10:10:00,2.52
2026/1/12,10:00:00,2.6
2026/1/12,9:50:00,2.67
2026/1/12,9:40:00,2.56
2026/1/12,9:30:00,2.78
2026/1/12,9:20:00,2.65
2026/1/12,9:10:00,2.76
2026/1/12,9:00:00,2.75
2026/1/12,8:50:00,2.7
2026/1/12,8:40:00,2.69
2026/1/12,8:30:00,2.62
2026/1/12,8:20:00,2.48
2026/1/12,8:11:00,2.69
2026/1/12,8:01:00,2.74
2026/1/12,7:51:00,2.49
2026/1/12,7:41:00,2.65
2026/1/12,7:31:00,2.62
2026/1/12,7:21:00,2.46
2026/1/12,7:11:00,2.6
2026/1/12,7:00:00,2.34
2026/1/12,6:50:00,2.56
2026/1/12,6:40:00,2.45
2026/1/12,6:30:00,2.47
2026/1/12,6:20:00,2.42
2026/1/12,6:10:00,2.55
2026/1/12,6:00:00,2.57
2026/1/12,5:50:00,2.76
2026/1/12,5:40:00,2.7
2026/1/12,5:30:00,2.68
2026/1/12,5:20:00,2.81
2026/1/12,5:10:00,2.86
2026/1/12,5:00:00,2.88
2026/1/12,5:00:00,2.88
2026/1/12,4:50:00,2.94
2026/1/12,4:50:00,2.94
2026/1/12,4:40:00,2.91
2026/1/12,4:40:00,2.91
2026/1/12,4:30:00,3.12
2026/1/12,4:30:00,3.12
2026/1/12,4:20:00,2.78
2026/1/12,4:20:00,2.78
2026/1/12,4:10:00,2.96
2026/1/12,4:10:00,2.96
2026/1/12,4:00:00,2.99
2026/1/12,4:00:00,2.99
2026/1/12,3:50:00,3.11
2026/1/12,3:50:00,3.11
2026/1/12,3:40:00,2.9
2026/1/12,3:30:00,2.88
2026/1/12,3:30:00,2.88
2026/1/12,3:20:00,2.91
2026/1/12,3:20:00,2.91
2026/1/12,3:10:00,2.88
2026/1/12,3:10:00,2.88
2026/1/12,3:00:00,2.79
2026/1/12,3:00:00,2.79
2026/1/12,2:50:00,2.78
2026/1/12,2:50:00,2.78
2026/1/12,2:40:00,2.85
2026/1/12,2:40:00,2.85
2026/1/12,2:30:00,2.85
2026/1/12,2:30:00,2.85
2026/1/12,2:20:00,2.97
2026/1/12,2:20:00,2.97
2026/1/12,2:10:00,2.9
2026/1/12,2:10:00,2.9
2026/1/12,2:00:00,2.94
2026/1/12,2:00:00,2.94
2026/1/12,1:50:00,2.87
2026/1/12,1:50:00,2.87
2026/1/12,1:40:00,2.77
2026/1/12,1:40:00,2.77
2026/1/12,1:30:00,2.9
2026/1/12,1:30:00,2.9
2026/1/12,1:20:00,2.9
2026/1/12,1:20:00,2.9
2026/1/12,1:10:00,2.8
2026/1/12,1:10:00,2.8
2026/1/12,1:00:00,2.78
2026/1/12,1:00:00,2.78
2026/1/12,0:50:00,2.9
2026/1/12,0:50:00,2.9
2026/1/12,0:40:00,2.93
2026/1/12,0:40:00,2.93
2026/1/12,0:30:00,2.9
2026/1/12,0:30:00,2.9
2026/1/12,0:20:00,2.88
2026/1/12,0:20:00,2.88
2026/1/12,0:10:00,2.86
2026/1/12,0:10:00,2.86
2026/1/12,0:00:00,2.86
2026/1/12,0:00:00,2.86
2026/1/11,23:50:00,2.87
2026/1/11,23:50:00,2.87
2026/1/11,23:40:00,2.86
2026/1/11,23:40:00,2.86
2026/1/11,23:30:00,2.75
2026/1/11,23:30:00,2.75
2026/1/11,23:20:00,2.71
2026/1/11,23:10:00,2.79
2026/1/11,23:00:00,2.85
2026/1/11,23:00:00,2.85
2026/1/11,22:50:00,2.84
2026/1/11,22:40:00,2.73
2026/1/11,22:40:00,2.73
2026/1/11,22:30:00,2.77
2026/1/11,22:30:00,2.77
2026/1/11,22:20:00,2.78
2026/1/11,22:11:00,2.79
2026/1/11,22:01:00,2.66
2026/1/11,21:51:00,2.72
2026/1/11,21:41:00,2.62
2026/1/11,21:31:00,2.78
2026/1/11,21:21:00,2.53
2026/1/11,21:11:00,2.64
2026/1/11,21:00:00,2.53
2026/1/11,20:50:00,2.72
2026/1/11,20:40:00,2.52
2026/1/11,20:30:00,2.68
2026/1/11,20:20:00,2.71
2026/1/11,20:10:00,2.56
2026/1/11,20:00:00,2.61
2026/1/11,19:50:00,2.56
2026/1/11,19:40:00,2.74
2026/1/11,19:30:00,2.55
2026/1/11,19:20:00,2.5
2026/1/11,19:10:00,2.5
2026/1/11,19:00:00,2.61
2026/1/11,18:50:00,2.68
2026/1/11,18:40:00,2.49
2026/1/11,18:30:00,2.61
2026/1/11,18:20:00,2.52
2026/1/11,18:10:00,2.53
2026/1/11,18:00:00,2.55
2026/1/11,17:50:00,2.5
2026/1/11,17:40:00,2.56
2026/1/11,17:30:00,2.53
2026/1/11,17:20:00,2.51
2026/1/11,17:10:00,2.4
2026/1/11,17:00:00,2.45
2026/1/11,16:50:00,2.45
2026/1/11,16:40:00,2.6
2026/1/11,16:30:00,2.59
2026/1/11,16:20:00,2.7
2026/1/11,16:10:00,2.56
2026/1/11,16:00:00,2.59
2026/1/11,15:50:00,2.58
2026/1/11,15:40:00,2.72
2026/1/11,15:30:00,2.83
2026/1/11,15:20:00,2.85
2026/1/11,15:10:00,2.65
2026/1/11,15:00:00,2.63
2026/1/11,14:50:00,2.65
2026/1/11,14:40:00,2.69
2026/1/11,14:30:00,2.55
2026/1/11,14:20:00,2.54
2026/1/11,14:10:00,2.74
2026/1/11,14:00:00,2.85
2026/1/11,13:50:00,2.61
2026/1/11,13:40:00,2.65
2026/1/11,13:30:00,2.57
2026/1/11,13:20:00,2.71
2026/1/11,13:10:00,2.64
2026/1/11,13:00:00,2.57
2026/1/11,12:50:00,2.49
2026/1/11,12:40:00,2.46
2026/1/11,12:30:00,2.46
2026/1/11,12:20:00,2.37
2026/1/11,12:11:00,2.57
2026/1/11,12:01:00,2.45
2026/1/11,11:51:00,2.5
2026/1/11,11:41:00,2.53
2026/1/11,11:31:00,2.56
2026/1/11,11:21:00,2.53
2026/1/11,11:11:00,2.54
2026/1/11,11:00:00,2.41
2026/1/11,10:50:00,2.65
2026/1/11,10:40:00,2.44
2026/1/11,10:30:00,2.65
2026/1/11,10:20:00,2.68
2026/1/11,10:10:00,2.51
2026/1/11,10:00:00,2.71
2026/1/11,9:50:00,2.42
2026/1/11,9:40:00,2.45
2026/1/11,9:30:00,2.39
2026/1/11,9:20:00,2.66
2026/1/11,9:10:00,2.65
2026/1/11,9:00:00,2.46
2026/1/11,8:50:00,2.69
2026/1/11,8:40:00,2.54
2026/1/11,8:30:00,2.34
2026/1/11,8:20:00,2.7
2026/1/11,8:10:00,2.53
2026/1/11,8:00:00,2.58
2026/1/11,7:50:00,2.55
2026/1/11,7:40:00,2.59
2026/1/11,7:30:00,2.63
2026/1/11,7:20:00,2.52
2026/1/11,7:10:00,2.56
2026/1/11,7:00:00,2.64
2026/1/11,6:50:00,2.62
2026/1/11,6:40:00,2.65
2026/1/11,6:30:00,2.67
2026/1/11,6:20:00,2.54
2026/1/11,6:10:00,2.72
2026/1/11,6:00:00,2.6
2026/1/11,5:50:00,2.64
2026/1/11,5:40:00,2.69
2026/1/11,5:40:00,2.69
2026/1/11,5:30:00,2.98
2026/1/11,5:30:00,2.98
2026/1/11,5:20:00,2.82
2026/1/11,5:10:00,2.81
2026/1/11,5:00:00,2.87
2026/1/11,4:50:00,2.88
2026/1/11,4:50:00,2.88
2026/1/11,4:40:00,3.08
2026/1/11,4:40:00,3.08
2026/1/11,4:30:00,2.92
2026/1/11,4:30:00,2.92
2026/1/11,4:20:00,2.84
2026/1/11,4:10:00,2.78
2026/1/11,4:00:00,2.96
2026/1/11,4:00:00,2.96
2026/1/11,3:50:00,2.84
2026/1/11,3:50:00,2.84
2026/1/11,3:40:00,2.86
2026/1/11,3:40:00,2.86
2026/1/11,3:30:00,2.84
2026/1/11,3:30:00,2.84
2026/1/11,3:20:00,2.9
2026/1/11,3:20:00,2.9
2026/1/11,3:10:00,2.91
2026/1/11,3:10:00,2.91
2026/1/11,3:00:00,2.95
2026/1/11,3:00:00,2.95
2026/1/11,2:50:00,2.83
2026/1/11,2:50:00,2.83
2026/1/11,2:40:00,2.83
2026/1/11,2:40:00,2.83
2026/1/11,2:30:00,2.93
2026/1/11,2:30:00,2.93
2026/1/11,2:20:00,2.83
2026/1/11,2:20:00,2.83
2026/1/11,2:11:00,2.97
2026/1/11,2:11:00,2.97
2026/1/11,2:01:00,2.96
2026/1/11,2:01:00,2.96
2026/1/11,1:51:00,2.82
2026/1/11,1:51:00,2.82
2026/1/11,1:41:00,2.81
2026/1/11,1:41:00,2.81
2026/1/11,1:31:00,2.9
2026/1/11,1:31:00,2.9
2026/1/11,1:21:00,2.96
2026/1/11,1:21:00,2.96
2026/1/11,1:11:00,2.94
2026/1/11,1:11:00,2.94
2026/1/11,1:01:00,2.78
2026/1/11,1:00:00,2.78
2026/1/11,0:50:00,2.98
2026/1/11,0:50:00,2.98
2026/1/11,0:40:00,2.93
2026/1/11,0:40:00,2.93
2026/1/11,0:30:00,2.97
2026/1/11,0:30:00,2.97
2026/1/11,0:20:00,2.76
2026/1/11,0:20:00,2.76
2026/1/11,0:10:00,2.98
2026/1/11,0:10:00,2.98
2026/1/11,0:00:00,2.95
2026/1/11,0:00:00,2.95
2026/1/10,23:50:00,2.92
2026/1/10,23:50:00,2.92
2026/1/10,23:40:00,2.98
2026/1/10,23:40:00,2.98
2026/1/10,23:30:00,2.69
2026/1/10,23:30:00,2.69
2026/1/10,23:20:00,2.92
2026/1/10,23:20:00,2.92
2026/1/10,23:10:00,2.71
2026/1/10,23:00:00,2.94
2026/1/10,23:00:00,2.94
2026/1/10,22:50:00,2.61
2026/1/10,22:40:00,2.57
2026/1/10,22:30:00,2.74
2026/1/10,22:20:00,2.81
2026/1/10,22:10:00,2.58
2026/1/10,22:00:00,2.66
2026/1/10,21:50:00,2.89
2026/1/10,21:40:00,2.62
2026/1/10,21:30:00,2.62
2026/1/10,21:20:00,2.82
2026/1/10,21:10:00,2.82
2026/1/10,21:00:00,2.51
2026/1/10,20:50:00,2.65
2026/1/10,20:40:00,2.86
2026/1/10,20:30:00,2.78
2026/1/10,20:20:00,2.56
2026/1/10,20:10:00,2.75
2026/1/10,20:00:00,2.78
2026/1/10,19:50:00,2.52
2026/1/10,19:40:00,2.4
2026/1/10,19:30:00,2.66
2026/1/10,19:20:00,2.46
2026/1/10,19:10:00,2.46
2026/1/10,19:00:00,2.53
2026/1/10,18:50:00,2.43
2026/1/10,18:40:00,2.36
2026/1/10,18:30:00,2.37
2026/1/10,18:20:00,2.64
2026/1/10,18:10:00,2.35
2026/1/10,18:00:00,2.5
2026/1/10,17:50:00,2.43
2026/1/10,17:40:00,2.47
2026/1/10,17:30:00,2.33
2026/1/10,17:20:00,2.37
2026/1/10,17:10:00,2.43
2026/1/10,17:00:00,2.56
2026/1/10,16:50:00,2.38
2026/1/10,16:40:00,2.41
2026/1/10,16:30:00,2.35
2026/1/10,16:20:00,2.67
2026/1/10,16:11:00,2.7
2026/1/10,16:01:00,2.48
2026/1/10,15:51:00,2.58
2026/1/10,15:41:00,2.84
2026/1/10,15:31:00,2.66
2026/1/10,15:21:00,2.7
2026/1/10,15:11:00,2.54
2026/1/10,15:00:00,2.61
2026/1/10,14:50:00,2.77
2026/1/10,14:40:00,2.64
2026/1/10,14:30:00,2.62
2026/1/10,14:20:00,2.69
2026/1/10,14:10:00,2.59
2026/1/10,14:00:00,2.71
2026/1/10,13:50:00,2.7
2026/1/10,13:40:00,2.66
2026/1/10,13:30:00,2.83
2026/1/10,13:20:00,2.65
2026/1/10,13:10:00,2.77
2026/1/10,13:00:00,2.65
2026/1/10,12:50:00,2.75
2026/1/10,12:40:00,2.42
2026/1/10,12:30:00,2.57
2026/1/10,12:20:00,2.49
2026/1/10,12:10:00,2.46
2026/1/10,12:00:00,2.45
2026/1/10,11:50:00,2.42
2026/1/10,11:40:00,2.58
2026/1/10,11:30:00,2.53
2026/1/10,11:20:00,2.41
2026/1/10,11:10:00,2.39
2026/1/10,11:00:00,2.42
2026/1/10,10:50:00,2.46
2026/1/10,10:40:00,2.47
2026/1/10,10:30:00,2.57
2026/1/10,10:20:00,2.77
2026/1/10,10:10:00,2.67
2026/1/10,10:00:00,2.77
2026/1/10,9:50:00,2.74
2026/1/10,9:40:00,2.57
2026/1/10,9:30:00,2.75
2026/1/10,9:20:00,2.5
2026/1/10,9:10:00,2.78
2026/1/10,9:00:00,2.54
2026/1/10,8:50:00,2.52
2026/1/10,8:40:00,2.65
2026/1/10,8:30:00,2.68
2026/1/10,8:20:00,2.55
2026/1/10,8:10:00,2.39
2026/1/10,8:00:00,2.49
2026/1/10,7:50:00,2.68
2026/1/10,7:40:00,2.53
2026/1/10,7:30:00,2.39
2026/1/10,7:20:00,2.59
2026/1/10,7:10:00,2.45
2026/1/10,7:00:00,2.61
2026/1/10,6:50:00,2.69
2026/1/10,6:40:00,2.5
2026/1/10,6:30:00,2.51
2026/1/10,6:20:00,2.55
2026/1/10,6:11:00,2.72
2026/1/10,6:01:00,2.83
2026/1/10,5:51:00,2.73
2026/1/10,5:41:00,2.85
2026/1/10,5:31:00,2.68
2026/1/10,5:21:00,2.81
2026/1/10,5:11:00,2.88
2026/1/10,5:11:00,2.88
2026/1/10,5:01:00,2.85
2026/1/10,5:00:00,2.85
2026/1/10,4:50:00,2.82
2026/1/10,4:50:00,2.82
2026/1/10,4:40:00,2.79
2026/1/10,4:40:00,2.79
2026/1/10,4:30:00,2.77
2026/1/10,4:20:00,2.86
2026/1/10,4:10:00,2.82
2026/1/10,4:10:00,2.82
2026/1/10,4:00:00,2.9
2026/1/10,4:00:00,2.9
2026/1/10,3:50:00,2.88
2026/1/10,3:50:00,2.88
2026/1/10,3:40:00,2.88
2026/1/10,3:40:00,2.88
2026/1/10,3:30:00,2.9
2026/1/10,3:30:00,2.9
2026/1/10,3:20:00,2.97
2026/1/10,3:20:00,2.97
2026/1/10,3:10:00,2.81
2026/1/10,3:00:00,2.85
2026/1/10,3:00:00,2.85
2026/1/10,2:50:00,2.8
2026/1/10,2:50:00,2.8
2026/1/10,2:40:00,2.82
2026/1/10,2:40:00,2.82
2026/1/10,2:30:00,2.8
2026/1/10,2:30:00,2.8
2026/1/10,2:20:00,2.94
2026/1/10,2:20:00,2.94
2026/1/10,2:10:00,2.9
2026/1/10,2:10:00,2.9
2026/1/10,2:00:00,2.91
2026/1/10,2:00:00,2.91
2026/1/10,1:50:00,2.82
2026/1/10,1:40:00,2.81
2026/1/10,1:40:00,2.81
2026/1/10,1:30:00,2.95
2026/1/10,1:30:00,2.95
2026/1/10,1:20:00,2.88
2026/1/10,1:20:00,2.88
2026/1/10,1:10:00,2.87
2026/1/10,1:00:00,2.81
2026/1/10,1:00:00,2.81
2026/1/10,0:50:00,2.8
2026/1/10,0:50:00,2.8
2026/1/10,0:40:00,2.82
2026/1/10,0:40:00,2.82
2026/1/10,0:30:00,2.85
2026/1/10,0:30:00,2.85
2026/1/10,0:20:00,2.9
2026/1/10,0:20:00,2.9
2026/1/10,0:10:00,2.95
2026/1/10,0:10:00,2.95
2026/1/10,0:00:00,2.82
2026/1/10,0:00:00,2.82
